.smooth,.estimate,.se,name,x_value
s(gam_age_offdiag_2),-93.15406780638816,9.48888825521136,offdiag_2,6060.606060606061
s(gam_age_offdiag_2),-95.23238664682881,9.700533888342383,offdiag_2,6161.616161616162
s(gam_age_offdiag_2),-97.31070492174796,9.912179898695534,offdiag_2,6262.626262626262
s(gam_age_offdiag_2),-99.38902253189937,10.123826255923131,offdiag_2,6363.636363636364
s(gam_age_offdiag_2),-101.46733939641106,10.335472926744764,offdiag_2,6464.646464646465
s(gam_age_offdiag_2),-103.5456554566197,10.547119877230294,offdiag_2,6565.656565656565
s(gam_age_offdiag_2),-105.62397067539517,10.758767073757694,offdiag_2,6666.666666666667
s(gam_age_offdiag_2),-107.70228504308824,10.970414484716112,offdiag_2,6767.676767676768
s(gam_age_offdiag_2),-109.78059857302674,11.1820620812129,offdiag_2,6868.686868686868
s(gam_age_offdiag_2),-111.85891130188905,11.393709837653006,offdiag_2,6969.69696969697
s(gam_age_offdiag_2),-113.93722328879967,11.605357733052013,offdiag_2,7070.707070707071
s(gam_age_offdiag_2),-116.0155346083697,11.81700575015096,offdiag_2,7171.717171717171
s(gam_age_offdiag_2),-118.09384535092398,12.028653876943944,offdiag_2,7272.727272727273
s(gam_age_offdiag_2),-120.17215561459055,12.240302105729251,offdiag_2,7373.737373737374
s(gam_age_offdiag_2),-122.25046550308514,12.451950433245878,offdiag_2,7474.747474747474
s(gam_age_offdiag_2),-124.32877511940733,12.663598860771888,offdiag_2,7575.757575757576
s(gam_age_offdiag_2),-126.4070845633578,12.87524739269907,offdiag_2,7676.767676767677
s(gam_age_offdiag_2),-128.48539392566752,13.086896036927289,offdiag_2,7777.777777777777
s(gam_age_offdiag_2),-130.56370328693907,13.298544803083717,offdiag_2,7878.787878787879
s(gam_age_offdiag_2),-132.64201271405136,13.51019370232399,offdiag_2,7979.79797979798
s(gam_age_offdiag_2),-134.72032225847693,13.721842746004574,offdiag_2,8080.808080808081
s(gam_age_offdiag_2),-136.79863195774598,13.933491945148951,offdiag_2,8181.818181818182
s(gam_age_offdiag_2),-138.87694183189254,14.145141309568569,offdiag_2,8282.828282828283
s(gam_age_offdiag_2),-140.95525188946849,14.356790847694816,offdiag_2,8383.838383838383
s(gam_age_offdiag_2),-143.03356212381433,14.568440566072828,offdiag_2,8484.848484848484
s(gam_age_offdiag_2),-145.11187252032124,14.780090469760237,offdiag_2,8585.858585858587
s(gam_age_offdiag_2),-147.19018305477093,14.991740562223947,offdiag_2,8686.868686868687
s(gam_age_offdiag_2),-149.26849369923758,15.203390845971201,offdiag_2,8787.878787878788
s(gam_age_offdiag_2),-151.34680442246807,15.415041322699205,offdiag_2,8888.888888888889
s(gam_age_offdiag_2),-153.42511519421467,15.626691993738513,offdiag_2,8989.89898989899
s(gam_age_offdiag_2),-155.50342598582813,15.838342860110233,offdiag_2,9090.90909090909
s(gam_age_offdiag_2),-157.58173677382842,16.04999392256473,offdiag_2,9191.919191919193
s(gam_age_offdiag_2),-159.66004753905733,16.26164518132213,offdiag_2,9292.929292929293
